Id,Name,Price,Weight,Size,Description
1,Піца La П’єц,205,480 гр,30 см,"соус томатний, шинка, баварські ковбаски, сир моцарела, ковбаса салямі, прошуто."
2,Цезаріо,231,600 гр,30 см,"соус вершковий, помідори, хрусткий салат, пармезан, куряче м'ясо, сир моцарела, перепелині яйця, соус ""Цезар""."
3,Кватро формаджі,217,410 гр,30 см,"соус вершковий, пармезан, сир моцарела, сир рікота, сир дорблю, волоський горіх, груша."
4,Капрічоза,181,470 гр,30 см,"соус томатний, сир моцарела, шинка, свіжі гриби."
5,Гавайська,175,535 гр,30 см,"сир моцарела, соус вершковий, філе куряче, кукурудза, ананас, оливки, перець болгарський."
6,Пепероні,184,400 гр,30 см,"сир моцарела, соус барбекю, пепероні, пармезан, рукола."
7,Карбонара,182,480 гр,30 см,"соус томатний, шинка, запечене яйце, сир моцарела, баварські ковбаски."
8,Салямі,176,410 гр,30 см,"соус томатний, сир моцарела, ковбаса салямі."
9,Панчетта,179,440 гр,30 см,"сир моцарела, соус кисло-солодкий, грудинка свинна, перець болгарський, огірок корнішон."
10,Діабола,173,440 гр,30 см,"соус томатний, сир моцарела, перець чилі, ковбаса пепероні."
11,Маргарита,129,420 гр,30 см,"соус томатний, сир моцарела, помідори."
12,Парма,206,400 гр,30 см,"соус вершковий, пармезан, сир моцарела, прошуто, рукола."
13,Шинкарелла,171,410 гр,30 см,"соус томатний, сир моцарела, шинка."
14,Поло,174,450 гр,30 см,"сир моцарела, цибуля, майонез, помідори, куряче м'ясо."
15,Тоно,204,470 гр,30 см,"соус томатний, цибуля, тунець консервований, сир моцарела."
16,Аль сальмоне,239,400 гр,30 см,"філе лосося, соус вершковий, сир моцарела, кунжут."
17,Меланзана,179,430 гр,30 см,"соус вершковий, пармезан, сир моцарела, шинка, баклажани."
18,Кальцоне аль Форно,173,470 гр,30 см,"соус томатний, пармезан, сир моцарела, сир рікота, шинка, помідори."
19,Вегетаріано,172,495 гр,30 см,"соус вершковий, сир моцарела, печериці, перець болгарський, броколі."
20,Вітелло,241,490 гр,30 см,"телятина, соус барбекю, сир моцарела, цибуля синя, огірок корнішон."
